loan_id,borrower_id,state,occupation,loan_amount,interest_rate_pct,tenure_months,disbursement_date,repayment_frequency,loan_purpose,loan_officer_id,emi_amount,days_past_due,loan_status,credit_score
LN-0068,BRW-0068,Rajasthan,Tailor,15000,18.11,24,2021-09-17,Bi-Weekly,Working Capital,LO-002,749.66,0,Closed,814
LN-0069,BRW-0069,Tamil Nadu,Vegetable Seller,30000,18.82,6,2022-08-06,Bi-Weekly,Home Improvement,LO-015,5278.02,0,Closed,773
LN-0070,BRW-0070,Bihar,Weaver,7500,24.58,18,2023-10-05,Weekly,Medical Emergency,LO-002,502.39,0,Active,821
LN-0071,BRW-0071,Bihar,Farmer,12500,18.95,18,2022-04-08,Monthly,Home Improvement,LO-015,803.24,50,Active,765
LN-0072,BRW-0072,West Bengal,Auto Rickshaw Driver,5000,22.88,6,2022-03-02,Monthly,Asset Purchase,LO-009,889.82,6,Active,777
LN-0073,BRW-0073,Tamil Nadu,Carpenter,7500,19.25,18,2023-07-12,Monthly,Medical Emergency,LO-016,483.02,0,Active,784
LN-0074,BRW-0074,Bihar,Tea Stall Owner,15000,23.62,18,2021-05-26,Monthly,Asset Purchase,LO-009,997.75,21,Active,781
LN-0075,BRW-0075,Uttar Pradesh,Cattle Farmer,7500,22.36,9,2022-06-29,Weekly,Working Capital,LO-002,912.88,0,Closed,789
LN-0076,BRW-0076,Bihar,Weaver,7500,21.75,12,2023-04-05,Bi-Weekly,Medical Emergency,LO-018,701.06,0,Active,775
LN-0077,BRW-0077,Maharashtra,Cattle Farmer,20000,22.83,6,2021-07-07,Weekly,Education,LO-019,3558.78,0,Closed,771
LN-0078,BRW-0078,Bihar,Fisherman,5000,24.1,9,2023-08-22,Monthly,Education,LO-015,612.82,42,Active,756
LN-0079,BRW-0079,West Bengal,Vegetable Seller,30000,25.75,18,2022-12-14,Bi-Weekly,Agricultural Input,LO-011,2026.81,28,Active,746
LN-0080,BRW-0080,Rajasthan,Cattle Farmer,30000,20.31,18,2021-03-17,Bi-Weekly,Working Capital,LO-011,1947.37,0,Closed,777
LN-0081,BRW-0081,West Bengal,Carpenter,5000,23.26,24,2023-08-05,Bi-Weekly,Working Capital,LO-007,262.51,0,Active,809
LN-0082,BRW-0082,Madhya Pradesh,Vegetable Seller,30000,24.08,9,2022-07-01,Monthly,Asset Purchase,LO-010,3676.63,0,Closed,814
LN-0083,BRW-0083,Madhya Pradesh,Farmer,5000,25.79,24,2022-05-06,Monthly,Asset Purchase,LO-010,268.84,0,Closed,805
LN-0084,BRW-0084,West Bengal,Farmer,12500,25.94,6,2023-08-04,Weekly,Education,LO-005,2243.76,0,Active,815
LN-0085,BRW-0085,Bihar,Carpenter,15000,21.32,18,2023-08-26,Weekly,Home Improvement,LO-018,980.99,0,Active,782
LN-0086,BRW-0086,Tamil Nadu,Farmer,15000,24.18,18,2022-11-28,Monthly,Agricultural Input,LO-001,1001.85,0,Closed,789
LN-0087,BRW-0087,Madhya Pradesh,Tailor,30000,22.31,12,2022-11-12,Monthly,Medical Emergency,LO-013,2812.31,0,Closed,790
LN-0088,BRW-0088,Uttar Pradesh,Tea Stall Owner,12500,22.57,9,2023-04-22,Weekly,Agricultural Input,LO-016,1522.75,26,Active,762
LN-0089,BRW-0089,West Bengal,Vegetable Seller,10000,21.96,6,2021-09-16,Monthly,Medical Emergency,LO-011,1775.03,86,Active,720
LN-0090,BRW-0090,Madhya Pradesh,Farmer,30000,18.12,9,2023-04-20,Monthly,Asset Purchase,LO-003,3590.03,0,Active,786
LN-0091,BRW-0091,Rajasthan,Fisherman,25000,23.2,12,2023-12-29,Bi-Weekly,Agricultural Input,LO-016,2354.32,33,Active,769
LN-0092,BRW-0092,Karnataka,Kirana Shop Owner,15000,25.98,6,2023-06-08,Weekly,Education,LO-004,2692.82,0,Active,814
LN-0093,BRW-0093,Bihar,Street Vendor,5000,20.59,6,2022-08-24,Bi-Weekly,Agricultural Input,LO-014,884.09,0,Closed,803
LN-0094,BRW-0094,West Bengal,Fisherman,10000,19.36,6,2023-02-23,Monthly,Education,LO-008,1762.03,0,Active,807
LN-0095,BRW-0095,Tamil Nadu,Kirana Shop Owner,30000,23.1,18,2022-06-07,Monthly,Working Capital,LO-015,1987.89,74,Active,715
LN-0096,BRW-0096,Tamil Nadu,Farmer,30000,25.56,24,2022-09-05,Monthly,Home Improvement,LO-009,1609.59,0,Closed,789
LN-0097,BRW-0097,Uttar Pradesh,Cattle Farmer,30000,18.85,18,2023-01-06,Monthly,Agricultural Input,LO-010,1926.35,0,Active,823
LN-0098,BRW-0098,West Bengal,Auto Rickshaw Driver,5000,22.53,6,2023-10-15,Bi-Weekly,Asset Purchase,LO-020,888.94,45,Active,756
LN-0099,BRW-0099,Uttar Pradesh,Fisherman,15000,23.42,9,2021-07-18,Monthly,Education,LO-002,1833.49,0,Closed,798
LN-0100,BRW-0100,Maharashtra,Fisherman,20000,23.86,6,2022-08-28,Bi-Weekly,Education,LO-014,3569.11,0,Closed,778
LN-0101,BRW-0101,Rajasthan,Carpenter,15000,24.64,12,2023-09-14,Bi-Weekly,Education,LO-011,1423.04,60,Active,702
LN-0102,BRW-0102,Tamil Nadu,Kirana Shop Owner,25000,25.74,24,2023-01-20,Weekly,Home Improvement,LO-001,1343.59,0,Active,777
LN-0103,BRW-0103,Madhya Pradesh,Domestic Worker,15000,22.68,12,2021-08-10,Monthly,Asset Purchase,LO-016,1408.83,0,Closed,826
LN-0104,BRW-0104,Rajasthan,Fisherman,12500,23.18,18,2022-09-11,Monthly,Home Improvement,LO-004,828.78,0,Closed,830
LN-0105,BRW-0105,Maharashtra,Auto Rickshaw Driver,30000,18.93,9,2021-10-05,Bi-Weekly,Home Improvement,LO-012,3601.74,24,Active,785
LN-0106,BRW-0106,West Bengal,Fisherman,10000,25.08,6,2023-09-30,Monthly,Home Improvement,LO-009,1790.68,0,Active,793
LN-0107,BRW-0107,Uttar Pradesh,Weaver,30000,25.6,12,2021-07-23,Monthly,Agricultural Input,LO-018,2860.07,72,Active,705
LN-0108,BRW-0108,Maharashtra,Cattle Farmer,15000,19.52,6,2023-07-21,Weekly,Education,LO-007,2644.25,20,Active,747
LN-0109,BRW-0109,Maharashtra,Domestic Worker,12500,25.91,24,2022-02-25,Weekly,Medical Emergency,LO-007,672.86,0,Closed,822
LN-0110,BRW-0110,Uttar Pradesh,Domestic Worker,10000,24.31,24,2021-01-06,Bi-Weekly,Asset Purchase,LO-005,530.26,0,Closed,821
LN-0111,BRW-0111,Tamil Nadu,Farmer,5000,19.05,12,2022-05-03,Monthly,Agricultural Input,LO-001,460.9,0,Closed,773
LN-0112,BRW-0112,Tamil Nadu,Tea Stall Owner,25000,22.21,6,2023-09-03,Bi-Weekly,Agricultural Input,LO-017,4440.7,0,Active,798
LN-0113,BRW-0113,Uttar Pradesh,Fisherman,5000,23.82,24,2022-09-10,Bi-Weekly,Education,LO-001,263.91,0,Closed,800
LN-0114,BRW-0114,West Bengal,Cattle Farmer,7500,21.92,18,2021-05-31,Weekly,Agricultural Input,LO-020,492.67,0,Closed,778
LN-0115,BRW-0115,Bihar,Fisherman,20000,21.05,24,2023-12-23,Bi-Weekly,Home Improvement,LO-017,1028.2,4,Active,815
LN-0116,BRW-0116,Karnataka,Vegetable Seller,12500,21.44,9,2023-04-28,Bi-Weekly,Home Improvement,LO-013,1515.89,0,Active,776
LN-0117,BRW-0117,Rajasthan,Cattle Farmer,20000,23.32,12,2021-11-09,Monthly,Home Improvement,LO-003,1884.62,0,Closed,775
LN-0118,BRW-0118,Karnataka,Cattle Farmer,7500,23.96,12,2021-09-24,Monthly,Working Capital,LO-019,709.05,259,NPA,501
LN-0119,BRW-0119,Karnataka,Cattle Farmer,20000,24.99,18,2021-04-16,Bi-Weekly,Medical Emergency,LO-010,1343.74,0,Closed,806
LN-0120,BRW-0120,Uttar Pradesh,Tailor,30000,19.79,6,2022-12-19,Monthly,Agricultural Input,LO-004,5292.54,19,Active,761
LN-0121,BRW-0121,West Bengal,Carpenter,5000,22.87,12,2021-03-01,Weekly,Agricultural Input,LO-010,470.07,270,NPA,446
LN-0122,BRW-0122,Tamil Nadu,Tailor,25000,18.56,6,2021-07-07,Monthly,Medical Emergency,LO-007,4395.11,0,Closed,799
LN-0123,BRW-0123,Rajasthan,Tailor,20000,20.49,12,2021-06-23,Weekly,Asset Purchase,LO-006,1857.38,2,Active,810
LN-0124,BRW-0124,Karnataka,Auto Rickshaw Driver,30000,23.3,18,2023-06-25,Bi-Weekly,Agricultural Input,LO-007,1990.81,4,Active,787
LN-0125,BRW-0125,West Bengal,Farmer,15000,23.43,24,2023-09-24,Monthly,Education,LO-010,788.81,0,Active,795
LN-0126,BRW-0126,Maharashtra,Street Vendor,12500,20.41,9,2021-10-09,Bi-Weekly,Agricultural Input,LO-011,1509.66,0,Closed,801
LN-0127,BRW-0127,West Bengal,Tailor,10000,21.04,9,2023-10-22,Monthly,Education,LO-012,1210.78,0,Active,825
LN-0128,BRW-0128,Maharashtra,Cattle Farmer,5000,21.68,6,2022-10-04,Monthly,Home Improvement,LO-019,886.81,0,Closed,810
LN-0129,BRW-0129,West Bengal,Auto Rickshaw Driver,7500,21.24,12,2021-12-18,Monthly,Home Improvement,LO-012,699.22,0,Closed,824
LN-0130,BRW-0130,Karnataka,Kirana Shop Owner,25000,22.71,24,2021-06-11,Bi-Weekly,Agricultural Input,LO-011,1305.74,0,Closed,819
LN-0131,BRW-0131,Tamil Nadu,Farmer,7500,22.24,9,2022-12-17,Bi-Weekly,Education,LO-005,912.45,0,Closed,779
LN-0132,BRW-0132,Bihar,Kirana Shop Owner,10000,22.82,6,2021-12-29,Monthly,Home Improvement,LO-015,1779.34,25,Active,777
LN-0133,BRW-0133,Madhya Pradesh,Vegetable Seller,20000,24.91,12,2021-11-06,Bi-Weekly,Working Capital,LO-016,1900.01,0,Closed,789
LN-0134,BRW-0134,Bihar,Fisherman,5000,20.82,6,2022-09-28,Bi-Weekly,Home Improvement,LO-002,884.66,0,Closed,823
LN-0135,BRW-0135,Bihar,Farmer,7500,22.92,24,2023-02-27,Bi-Weekly,Medical Emergency,LO-018,392.5,112,NPA,663
LN-0136,BRW-0136,Uttar Pradesh,Domestic Worker,30000,22.01,6,2023-07-12,Weekly,Agricultural Input,LO-003,5325.84,0,Active,781
LN-0137,BRW-0137,Maharashtra,Kirana Shop Owner,30000,25.93,24,2023-12-07,Monthly,Asset Purchase,LO-012,1615.18,0,Active,788
LN-0138,BRW-0138,West Bengal,Cattle Farmer,20000,23.43,6,2022-11-17,Weekly,Agricultural Input,LO-004,3564.79,0,Closed,794
LN-0139,BRW-0139,Bihar,Auto Rickshaw Driver,10000,20.67,24,2021-10-17,Bi-Weekly,Agricultural Input,LO-013,512.24,0,Closed,815
LN-0140,BRW-0140,Karnataka,Auto Rickshaw Driver,25000,23.15,12,2021-09-19,Monthly,Education,LO-017,2353.72,0,Closed,812
LN-0141,BRW-0141,West Bengal,Carpenter,20000,18.15,12,2022-01-05,Weekly,Agricultural Input,LO-016,1835.03,0,Closed,778
LN-0142,BRW-0142,Tamil Nadu,Farmer,15000,24.76,6,2023-11-06,Monthly,Education,LO-017,2683.61,0,Active,791
LN-0143,BRW-0143,Tamil Nadu,Fisherman,25000,19.23,9,2021-12-06,Monthly,Home Improvement,LO-002,3005.06,0,Closed,813
LN-0144,BRW-0144,Uttar Pradesh,Weaver,15000,24.02,18,2022-04-25,Monthly,Asset Purchase,LO-010,1000.68,331,NPA,429
LN-0145,BRW-0145,Uttar Pradesh,Domestic Worker,30000,21.69,12,2023-02-22,Monthly,Medical Emergency,LO-014,2803.36,193,NPA,589
LN-0146,BRW-0146,Tamil Nadu,Auto Rickshaw Driver,5000,23.13,12,2021-07-30,Monthly,Medical Emergency,LO-004,470.7,0,Closed,818
LN-0147,BRW-0147,Tamil Nadu,Auto Rickshaw Driver,30000,25.24,9,2023-06-15,Weekly,Asset Purchase,LO-015,3693.61,90,Active,663
LN-0148,BRW-0148,West Bengal,Street Vendor,25000,22.02,9,2023-03-02,Weekly,Agricultural Input,LO-008,3038.82,0,Active,829
LN-0149,BRW-0149,Karnataka,Tea Stall Owner,20000,24.33,9,2021-03-20,Bi-Weekly,Home Improvement,LO-005,2453.53,16,Active,778
LN-0150,BRW-0150,Maharashtra,Farmer,5000,20.05,9,2023-12-17,Bi-Weekly,Working Capital,LO-010,602.99,0,Active,777
LN-0151,BRW-0151,Maharashtra,Kirana Shop Owner,25000,23.11,24,2023-07-26,Weekly,Working Capital,LO-016,1310.7,0,Active,771
LN-0152,BRW-0152,Uttar Pradesh,Tea Stall Owner,10000,20.33,6,2022-12-24,Weekly,Medical Emergency,LO-014,1766.88,0,Closed,812
LN-0153,BRW-0153,Karnataka,Carpenter,20000,18.54,24,2023-11-06,Monthly,Medical Emergency,LO-001,1003.71,0,Active,800
LN-0154,BRW-0154,Maharashtra,Vegetable Seller,25000,25.85,12,2021-02-03,Bi-Weekly,Working Capital,LO-012,2386.43,0,Closed,812
LN-0155,BRW-0155,Karnataka,Fisherman,20000,19.07,12,2022-11-25,Monthly,Asset Purchase,LO-015,1843.8,336,NPA,406
LN-0156,BRW-0156,Tamil Nadu,Tailor,7500,23.73,18,2021-03-17,Bi-Weekly,Asset Purchase,LO-002,499.28,29,Active,737
LN-0157,BRW-0157,Rajasthan,Auto Rickshaw Driver,25000,25.91,24,2023-08-28,Bi-Weekly,Working Capital,LO-007,1345.73,0,Active,825
LN-0158,BRW-0158,Maharashtra,Vegetable Seller,20000,20.19,12,2023-06-14,Bi-Weekly,Education,LO-015,1854.51,55,Active,725
LN-0159,BRW-0159,Tamil Nadu,Weaver,30000,20.94,24,2022-07-01,Weekly,Education,LO-014,1540.69,0,Closed,808
LN-0160,BRW-0160,Tamil Nadu,Carpenter,15000,20.57,6,2022-11-03,Monthly,Agricultural Input,LO-010,2652.11,0,Closed,815
LN-0161,BRW-0161,West Bengal,Tailor,30000,20.81,6,2022-12-24,Monthly,Home Improvement,LO-009,5307.83,26,Active,798
LN-0162,BRW-0162,Maharashtra,Farmer,25000,20.91,9,2021-03-05,Weekly,Medical Emergency,LO-015,3025.36,0,Closed,774
LN-0163,BRW-0163,Uttar Pradesh,Vegetable Seller,20000,20.9,24,2021-03-08,Monthly,Asset Purchase,LO-015,1026.73,281,NPA,460
LN-0164,BRW-0164,Karnataka,Fisherman,10000,22.24,18,2022-10-06,Monthly,Agricultural Input,LO-008,658.45,104,NPA,692
LN-0165,BRW-0165,Tamil Nadu,Weaver,25000,25.31,6,2022-06-21,Bi-Weekly,Education,LO-015,4479.6,0,Closed,809
LN-0166,BRW-0166,Bihar,Tea Stall Owner,30000,19.6,9,2021-06-01,Bi-Weekly,Asset Purchase,LO-015,3611.43,254,NPA,507
LN-0167,BRW-0167,Rajasthan,Tea Stall Owner,7500,22.4,12,2022-09-07,Weekly,Education,LO-006,703.4,17,Active,763
LN-0168,BRW-0168,Karnataka,Kirana Shop Owner,10000,19.89,18,2021-02-23,Bi-Weekly,Medical Emergency,LO-019,647.1,0,Closed,821
LN-0169,BRW-0169,Tamil Nadu,Fisherman,7500,18.53,18,2023-09-08,Monthly,Home Improvement,LO-014,480.44,35,Active,736
LN-0170,BRW-0170,Rajasthan,Vegetable Seller,7500,21.6,24,2022-12-07,Weekly,Medical Emergency,LO-019,387.61,0,Closed,778
LN-0171,BRW-0171,West Bengal,Carpenter,5000,24.65,24,2021-11-10,Bi-Weekly,Asset Purchase,LO-006,265.98,0,Closed,815
LN-0172,BRW-0172,Uttar Pradesh,Domestic Worker,15000,24.77,12,2022-02-07,Monthly,Medical Emergency,LO-009,1423.99,0,Closed,789
LN-0173,BRW-0173,Karnataka,Carpenter,10000,22.73,24,2021-11-12,Weekly,Education,LO-020,522.39,20,Active,767
LN-0174,BRW-0174,Maharashtra,Street Vendor,7500,18.36,24,2022-06-27,Monthly,Asset Purchase,LO-019,375.74,0,Closed,810
LN-0175,BRW-0175,Maharashtra,Weaver,15000,23.14,12,2023-09-17,Weekly,Education,LO-013,1412.16,0,Active,774
LN-0176,BRW-0176,Maharashtra,Tailor,30000,21.32,18,2022-02-22,Bi-Weekly,Medical Emergency,LO-005,1961.98,0,Closed,815
LN-0177,BRW-0177,Rajasthan,Tea Stall Owner,20000,25.8,9,2023-01-29,Monthly,Medical Emergency,LO-004,2467.88,0,Active,799
LN-0178,BRW-0178,Karnataka,Auto Rickshaw Driver,30000,19.98,6,2021-04-14,Bi-Weekly,Home Improvement,LO-020,5295.38,0,Closed,825
LN-0179,BRW-0179,Tamil Nadu,Domestic Worker,20000,19.52,9,2023-10-18,Monthly,Home Improvement,LO-016,2406.85,62,Active,696
LN-0180,BRW-0180,Karnataka,Cattle Farmer,30000,25.73,9,2022-12-24,Weekly,Working Capital,LO-010,3700.8,0,Closed,826
LN-0181,BRW-0181,Madhya Pradesh,Auto Rickshaw Driver,5000,24.78,18,2021-10-02,Bi-Weekly,Education,LO-012,335.42,12,Active,757
LN-0182,BRW-0182,West Bengal,Street Vendor,12500,20.9,12,2021-05-31,Bi-Weekly,Medical Emergency,LO-015,1163.32,9,Active,811
LN-0183,BRW-0183,Karnataka,Tailor,7500,21.15,12,2023-01-19,Weekly,Asset Purchase,LO-020,698.89,0,Active,802
LN-0184,BRW-0184,Maharashtra,Street Vendor,5000,19.1,12,2023-08-29,Monthly,Home Improvement,LO-005,461.02,17,Active,757
LN-0185,BRW-0185,Rajasthan,Fisherman,20000,19.3,24,2022-09-05,Monthly,Agricultural Input,LO-017,1011.09,65,Active,723
